time,open,high,low,close
2012-12-28,1.32173,1.32235,1.3214,1.3214
2012-12-30,1.32091,1.32322,1.32091,1.32259
2012-12-31,1.32259,1.32344,1.31738,1.3195
2013-01-01,1.3195,1.32197,1.31866,1.31977
2013-01-02,1.31975,1.32991,1.3157,1.31833
2013-01-03,1.31836,1.31887,1.30222,1.30243
2013-01-04,1.3024,1.30892,1.29971,1.30678
2013-01-06,1.30745,1.30792,1.30655,1.30676
2013-01-07,1.30678,1.31275,1.30165,1.31236
2013-01-08,1.31236,1.31393,1.30566,1.30825
2013-01-09,1.30822,1.30956,1.30362,1.30531
2013-01-10,1.3053,1.32791,1.30385,1.32722
2013-01-11,1.32723,1.33653,1.32479,1.33424
2013-01-13,1.33605,1.33685,1.33498,1.33579
2013-01-14,1.33579,1.34037,1.33356,1.33769
2013-01-15,1.33771,1.33933,1.3272,1.33088
2013-01-16,1.33089,1.33246,1.32565,1.32845
2013-01-17,1.32845,1.33873,1.32696,1.33738
2013-01-18,1.33737,1.3398,1.32803,1.3318
2013-01-20,1.33107,1.33237,1.33066,1.33176
2013-01-21,1.33174,1.33319,1.32998,1.33095
2013-01-22,1.33096,1.33712,1.32668,1.33125
2013-01-23,1.33127,1.33542,1.32655,1.33067
2013-01-24,1.33068,1.33925,1.32859,1.33674
2013-01-25,1.33674,1.34788,1.33497,1.34587
2013-01-27,1.34651,1.34709,1.34531,1.34647
2013-01-28,1.34647,1.34765,1.34244,1.34469
2013-01-29,1.3447,1.34968,1.3414,1.34874
2013-01-30,1.34874,1.3587,1.34817,1.35682
2013-01-31,1.3568,1.36165,1.35408,1.3611
2013-02-01,1.36115,1.37108,1.3586,1.36391
2013-02-03,1.36521,1.36571,1.36449,1.36449
2013-02-04,1.36448,1.36486,1.34988,1.35104
2013-02-05,1.35103,1.35972,1.34577,1.35825
2013-02-06,1.35825,1.35957,1.34951,1.35218
2013-02-07,1.35216,1.35769,1.33706,1.33827
2013-02-08,1.33826,1.34288,1.33531,1.33662
2013-02-10,1.33673,1.3374,1.33635,1.3366
2013-02-11,1.33658,1.34273,1.3357,1.34016
2013-02-12,1.34016,1.34753,1.33635,1.34521
2013-02-13,1.34519,1.35196,1.34262,1.34444
2013-02-14,1.34444,1.34551,1.3315,1.33498
2013-02-15,1.33499,1.33929,1.3306,1.33618
2013-02-17,1.33503,1.3357,1.33369,1.33388
2013-02-18,1.33388,1.33787,1.3321,1.33484
2013-02-19,1.33484,1.33958,1.33285,1.33951
2013-02-20,1.33948,1.34341,1.32705,1.32727
2013-02-21,1.32729,1.32891,1.31606,1.3192
2013-02-22,1.3192,1.32442,1.3145,1.31902
2013-02-24,1.32154,1.32175,1.31856,1.31911
2013-02-25,1.31912,1.33171,1.30471,1.30659
2013-02-26,1.30661,1.31187,1.3018,1.30672
2013-02-27,1.30673,1.31615,1.3041,1.31549
2013-02-28,1.31551,1.31579,1.30531,1.30606
2013-03-01,1.30601,1.3101,1.29664,1.30178
2013-03-03,1.30121,1.30307,1.30045,1.30157
2013-03-04,1.30154,1.30404,1.29819,1.30347
2013-03-05,1.30348,1.3075,1.3011,1.30471
2013-03-06,1.30472,1.307,1.29646,1.29777
2013-03-07,1.29777,1.31181,1.29746,1.31077
2013-03-08,1.31077,1.31343,1.29548,1.30042
2013-03-10,1.29857,1.30034,1.29793,1.29873
2013-03-11,1.29873,1.30529,1.29837,1.30322
2013-03-12,1.30319,1.30742,1.29913,1.30302
2013-03-13,1.30301,1.30646,1.29234,1.29591
2013-03-14,1.29591,1.30299,1.29112,1.30118
2013-03-15,1.30117,1.31058,1.30023,1.30743
2013-03-17,1.29052,1.2931,1.2888,1.28907
2013-03-18,1.28907,1.2994,1.28817,1.29434
2013-03-19,1.29435,1.29694,1.28466,1.28638
2013-03-20,1.28639,1.29738,1.28634,1.2939
2013-03-21,1.29391,1.29551,1.28799,1.2903
2013-03-22,1.29031,1.30074,1.2888,1.29881
2013-03-24,1.29475,1.30474,1.29448,1.30185
2013-03-25,1.30185,1.30479,1.28342,1.2857
2013-03-26,1.2857,1.28887,1.28313,1.28605
2013-03-27,1.28609,1.28665,1.27539,1.27742
2013-03-28,1.27746,1.28437,1.27556,1.28142
2013-03-29,1.28137,1.28368,1.27944,1.28184
2013-03-31,1.28029,1.2812,1.28,1.28051
2013-04-01,1.28051,1.28666,1.27713,1.28485
2013-04-02,1.28483,1.28777,1.28096,1.2819
2013-04-03,1.2819,1.28639,1.27898,1.28489
2013-04-04,1.2849,1.29487,1.27468,1.29258
2013-04-05,1.29257,1.30389,1.29006,1.29943
2013-04-07,1.29732,1.3006,1.2972,1.29909
2013-04-08,1.2991,1.30365,1.29685,1.30293
2013-04-09,1.30293,1.31025,1.30056,1.30805
2013-04-10,1.308,1.31217,1.3051,1.3052
2013-04-11,1.30522,1.3138,1.30436,1.31162
2013-04-12,1.3116,1.31262,1.30384,1.31113
2013-04-14,1.31141,1.31147,1.30958,1.30966
2013-04-15,1.30968,1.31075,1.3022,1.30531
2013-04-16,1.3053,1.32015,1.30292,1.31779
2013-04-17,1.3178,1.31995,1.30011,1.30335
2013-04-18,1.30335,1.3096,1.30208,1.30524
2013-04-19,1.30523,1.31271,1.3048,1.3051
2013-04-21,1.3076,1.30769,1.3053,1.30575
2013-04-22,1.30573,1.30836,1.30154,1.30593
2013-04-23,1.30592,1.30824,1.2973,1.2994
2013-04-24,1.29938,1.3033,1.29611,1.30155
2013-04-25,1.30157,1.30933,1.29894,1.30038
2013-04-26,1.30037,1.30475,1.29912,1.30274
2013-04-28,1.30504,1.30676,1.3039,1.30406
2013-04-29,1.30402,1.31158,1.30318,1.30943
2013-04-30,1.30941,1.31858,1.30557,1.31671
2013-05-01,1.31679,1.32427,1.31606,1.31792
2013-05-02,1.31793,1.32148,1.30384,1.30658
2013-05-03,1.30658,1.31565,1.30351,1.31131
2013-05-05,1.31188,1.3126,1.31104,1.31206
2013-05-06,1.31207,1.31396,1.30534,1.30727
2013-05-07,1.30722,1.31315,1.30677,1.3075
2013-05-08,1.3075,1.31944,1.30726,1.31602
2013-05-09,1.31602,1.3177,1.30098,1.30315
2013-05-10,1.30316,1.30506,1.2935,1.29899
2013-05-12,1.29724,1.29781,1.29596,1.2967
2013-05-13,1.2967,1.2997,1.29415,1.2987
2013-05-14,1.29868,1.30289,1.29181,1.29363
2013-05-15,1.29362,1.29424,1.2843,1.28824
2013-05-16,1.28824,1.29297,1.28463,1.28828
2013-05-17,1.2883,1.28887,1.2796,1.28381
2013-05-19,1.28421,1.28482,1.28276,1.28306
2013-05-20,1.28307,1.29035,1.28192,1.28903
2013-05-21,1.28903,1.29327,1.2841,1.29198
2013-05-22,1.29197,1.29978,1.28335,1.28421
2013-05-23,1.28422,1.29539,1.28214,1.29228
2013-05-24,1.29229,1.29928,1.29043,1.29323
2013-05-26,1.29347,1.29436,1.29328,1.29357
2013-05-27,1.29357,1.29485,1.29159,1.29339
2013-05-28,1.29339,1.29468,1.2841,1.28445
2013-05-29,1.28446,1.2975,1.2838,1.29465
2013-05-30,1.29465,1.30614,1.29333,1.30419
2013-05-31,1.30419,1.30484,1.2944,1.29963
2013-06-02,1.29932,1.30001,1.2983,1.29942
2013-06-03,1.29944,1.31074,1.29556,1.30704
2013-06-04,1.30702,1.31012,1.30418,1.30715
2013-06-05,1.30714,1.31142,1.30529,1.30865
2013-06-06,1.30864,1.33054,1.30749,1.32423
2013-06-07,1.32423,1.32846,1.31918,1.32187
2013-06-09,1.31906,1.32149,1.31851,1.32024
2013-06-10,1.32024,1.32689,1.31775,1.32528
2013-06-11,1.32528,1.33173,1.3232,1.33121
2013-06-12,1.33122,1.33591,1.32655,1.33438
2013-06-13,1.33438,1.33902,1.32785,1.33586
2013-06-14,1.33587,1.33728,1.32948,1.33467
2013-06-16,1.33476,1.33572,1.33431,1.33546
2013-06-17,1.33545,1.33815,1.33184,1.33619
2013-06-18,1.3362,1.34155,1.33255,1.33929
2013-06-19,1.33929,1.34155,1.3262,1.32817
2013-06-20,1.32817,1.33002,1.31612,1.32276
2013-06-21,1.32277,1.32541,1.30985,1.31215
2013-06-23,1.30912,1.31141,1.30888,1.31066
2013-06-24,1.31066,1.31438,1.3059,1.3135
2013-06-25,1.3135,1.31506,1.3065,1.30753
2013-06-26,1.30755,1.3087,1.29849,1.30162
2013-06-27,1.30162,1.30546,1.3,1.30361
2013-06-28,1.30363,1.31029,1.29913,1.30096
2013-06-30,1.30146,1.3016,1.30055,1.30083
2013-07-01,1.30077,1.30708,1.30074,1.30679
2013-07-02,1.30678,1.30779,1.29634,1.29748
2013-07-03,1.29745,1.30288,1.29229,1.30208
2013-07-04,1.30208,1.30208,1.2883,1.28924
2013-07-05,1.28924,1.29053,1.28063,1.28303
2013-07-07,1.28106,1.28327,1.28106,1.28128
2013-07-08,1.28128,1.28819,1.28117,1.28606
2013-07-09,1.28606,1.2898,1.27552,1.27766
2013-07-10,1.27769,1.3206,1.27648,1.31164
2013-07-11,1.31175,1.3147,1.30056,1.30867
2013-07-12,1.30865,1.31001,1.2999,1.30679
2013-07-14,1.30763,1.308,1.30567,1.30607
2013-07-15,1.30609,1.30791,1.2993,1.3058
2013-07-16,1.3058,1.31745,1.3053,1.3148
2013-07-17,1.31478,1.31768,1.30829,1.31163
2013-07-18,1.31163,1.31255,1.3066,1.31086
2013-07-19,1.31087,1.31532,1.30893,1.31427
2013-07-21,1.31384,1.31601,1.31357,1.31581
2013-07-22,1.31582,1.32179,1.3144,1.31909
2013-07-23,1.31908,1.32386,1.31631,1.32211
2013-07-24,1.32211,1.3256,1.31767,1.31904
2013-07-25,1.31904,1.32958,1.31655,1.32737
2013-07-26,1.32737,1.32968,1.32525,1.32786
2013-07-28,1.32854,1.32938,1.32753,1.32856
2013-07-29,1.32857,1.32949,1.32388,1.3263
2013-07-30,1.32631,1.33012,1.3234,1.32656
2013-07-31,1.32656,1.33447,1.32141,1.33003
2013-08-01,1.33007,1.33107,1.31932,1.32116
2013-08-02,1.32117,1.32937,1.31892,1.32805
2013-08-04,1.32833,1.32872,1.32739,1.32771
2013-08-05,1.32771,1.32999,1.32329,1.32576
2013-08-06,1.32575,1.33229,1.3246,1.33071
2013-08-07,1.33072,1.33453,1.32654,1.334
2013-08-08,1.334,1.34003,1.33278,1.33791
2013-08-09,1.3379,1.33903,1.33324,1.33413
2013-08-11,1.33196,1.33436,1.33196,1.33384
2013-08-12,1.33384,1.33402,1.3277,1.32917
2013-08-13,1.32917,1.3317,1.32333,1.3265
2013-08-14,1.32652,1.32799,1.32389,1.32646
2013-08-15,1.32646,1.33627,1.32054,1.33505
2013-08-16,1.33504,1.33798,1.3311,1.33283
2013-08-18,1.33296,1.3343,1.33212,1.3329
2013-08-19,1.3329,1.33745,1.33151,1.33337
2013-08-20,1.33337,1.34518,1.33234,1.34205
2013-08-21,1.34205,1.34268,1.33345,1.3341
2013-08-22,1.3341,1.3373,1.32979,1.33553
2013-08-23,1.33552,1.34096,1.3333,1.33799
2013-08-25,1.33854,1.33923,1.33771,1.33867
2013-08-26,1.33867,1.3394,1.33563,1.33781
2013-08-27,1.3378,1.33987,1.33232,1.33908
2013-08-28,1.33907,1.33976,1.33049,1.33347
2013-08-29,1.33347,1.33399,1.32191,1.32369
2013-08-30,1.32369,1.32548,1.31734,1.32213
2013-09-01,1.32108,1.3215,1.31965,1.32067
2013-09-02,1.32067,1.3227,1.31836,1.31891
2013-09-03,1.31892,1.31968,1.31385,1.31717
2013-09-04,1.31716,1.32177,1.3157,1.31994
2013-09-05,1.31993,1.32228,1.31105,1.31192
2013-09-06,1.31192,1.31891,1.31046,1.31765
2013-09-08,1.31622,1.3179,1.3162,1.31721
2013-09-09,1.3172,1.32806,1.31665,1.32556
2013-09-10,1.32557,1.32757,1.32298,1.32673
2013-09-11,1.32673,1.33244,1.32439,1.33135
2013-09-12,1.33135,1.33244,1.32552,1.32983
2013-09-13,1.32983,1.3321,1.32538,1.3293
2013-09-15,1.33528,1.33819,1.33527,1.33584
2013-09-16,1.33585,1.33854,1.33301,1.33354
2013-09-17,1.33354,1.33692,1.33248,1.33566
2013-09-18,1.33565,1.35418,1.3338,1.35236
2013-09-19,1.35236,1.35685,1.35093,1.35334
2013-09-20,1.35334,1.35487,1.34977,1.3522
2013-09-22,1.3546,1.35476,1.35241,1.35334
2013-09-23,1.35334,1.35446,1.3479,1.34966
2013-09-24,1.34968,1.35188,1.3464,1.34731
2013-09-25,1.3473,1.3537,1.34613,1.35173
2013-09-26,1.35172,1.35262,1.3472,1.34874
2013-09-27,1.34874,1.35644,1.3474,1.3521
2013-09-29,1.34923,1.34981,1.34767,1.34944
2013-09-30,1.34945,1.3556,1.34778,1.35234
2013-10-01,1.35237,1.3588,1.35158,1.35226
2013-10-02,1.35226,1.36066,1.35043,1.35898
