time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2012-12-28,1.32173,1.32235,1.3214,1.3214,,,,,,,,,,,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,1.32091,1.32322,1.32091,1.32259,,,,,,,,,,,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,1.32259,1.32344,1.31738,1.3195,,,,,,,,,,,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,1.3195,1.32197,1.31866,1.31977,,,,,,,,,,,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,1.31975,1.32991,1.3157,1.31833,1.3251026666666665,1.3179,,,,,,,,,-9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,1.31836,1.31887,1.30222,1.30243,1.3233333333333335,1.31237,,,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,1.3024,1.30892,1.29971,1.30678,1.3184793333333333,1.3072819999999998,,,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,1.30745,1.30792,1.30655,1.30676,1.3142453333333333,1.3058873333333334,,,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-07,1.30678,1.31275,1.30165,1.31236,1.3126560000000003,1.3035813333333333,,,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,1.31236,1.31393,1.30566,1.30825,1.3120746666666667,1.303746,1.315811090909091,1.307338909090909,,,,,,,-9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
